epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1306.92,1.68708,2.30135,1.71756,0.58565,0.38518,0.40183,0.18134,1.81725,2.3032,1.89925,0.000661333,0.000661333,0.000661333
2,1365.8,1.78226,2.06672,1.81404,0.54711,0.3592,0.36044,0.14767,2.10323,2.23517,2.10945,0.00130609,0.00130609,0.00130609
3,1424.6,1.8532,2.03445,1.84055,0.50341,0.37877,0.35759,0.15164,2.03951,2.78163,2.02231,0.00192884,0.00192884,0.00192884
4,1483.57,1.83809,1.99342,1.84219,0.45433,0.34858,0.33207,0.1451,2.10459,2.37481,2.02271,0.001901,0.001901,0.001901
5,1542.74,1.80532,1.90825,1.80872,0.6227,0.45197,0.49041,0.22319,1.90771,1.85807,1.89,0.001868,0.001868,0.001868
6,1603.15,1.78737,1.8533,1.7807,0.61049,0.44465,0.44299,0.19049,1.88389,1.78726,1.81032,0.001835,0.001835,0.001835
7,1661.97,1.76174,1.8552,1.74366,0.48227,0.44922,0.42838,0.20653,1.86436,1.87415,1.86583,0.001802,0.001802,0.001802
8,1721.04,1.71259,1.80912,1.73239,0.61464,0.4655,0.47449,0.22661,1.85107,1.69952,1.83649,0.001769,0.001769,0.001769
9,1782.54,1.70685,1.7692,1.72859,0.66047,0.47667,0.52638,0.24872,1.78425,1.66073,1.79248,0.001736,0.001736,0.001736
10,1844.04,1.69677,1.76896,1.72871,0.69933,0.48582,0.54227,0.25899,1.75644,1.55914,1.75326,0.001703,0.001703,0.001703
11,1904.68,1.66935,1.69566,1.70755,0.62514,0.48062,0.50422,0.24874,1.73727,1.78923,1.76047,0.00167,0.00167,0.00167
12,1965.62,1.6537,1.70053,1.68503,0.64338,0.47207,0.50097,0.24562,1.8116,1.68613,1.78645,0.001637,0.001637,0.001637
13,2024.66,1.65228,1.66576,1.68361,0.61869,0.5151,0.53504,0.25624,1.79577,1.63425,1.80656,0.001604,0.001604,0.001604
14,2083.13,1.6285,1.64487,1.67029,0.69469,0.4849,0.54704,0.27881,1.71158,1.52975,1.69172,0.001571,0.001571,0.001571
15,2142.82,1.61754,1.62208,1.65116,0.65575,0.5298,0.56188,0.28451,1.7015,1.56691,1.69337,0.001538,0.001538,0.001538
16,2203.08,1.60475,1.61268,1.65571,0.6498,0.50046,0.5357,0.27789,1.65786,1.51152,1.66891,0.001505,0.001505,0.001505
17,2263.02,1.59588,1.5937,1.64452,0.7147,0.49405,0.55512,0.28637,1.65872,1.47256,1.64692,0.001472,0.001472,0.001472
18,2322.74,1.58596,1.6056,1.65818,0.70722,0.53702,0.57578,0.28773,1.69092,1.45495,1.68774,0.001439,0.001439,0.001439
19,2383.42,1.58975,1.57589,1.63467,0.66169,0.49863,0.5372,0.26838,1.71178,1.49422,1.65174,0.001406,0.001406,0.001406
20,2443.83,1.56965,1.54557,1.63424,0.69492,0.5215,0.57477,0.29541,1.64792,1.4452,1.63194,0.001373,0.001373,0.001373
21,2503.58,1.56793,1.50714,1.61671,0.71335,0.53961,0.60199,0.30887,1.64781,1.37697,1.65628,0.00134,0.00134,0.00134
22,2563.93,1.54858,1.51279,1.6142,0.70298,0.54346,0.58617,0.31466,1.62033,1.37108,1.65661,0.001307,0.001307,0.001307
23,2624.45,1.54683,1.50576,1.6219,0.70342,0.54031,0.57633,0.29103,1.68333,1.51669,1.66752,0.001274,0.001274,0.001274
24,2685.03,1.53073,1.45545,1.58908,0.70399,0.54398,0.58997,0.30794,1.63321,1.43375,1.62949,0.001241,0.001241,0.001241
25,2745.54,1.53183,1.43657,1.57491,0.75084,0.55444,0.62213,0.31507,1.65306,1.30694,1.63267,0.001208,0.001208,0.001208
26,2806.24,1.51287,1.44659,1.58243,0.70753,0.51967,0.58364,0.31237,1.62868,1.32646,1.6165,0.001175,0.001175,0.001175
27,2866.26,1.51207,1.39468,1.58211,0.73201,0.56084,0.61782,0.32998,1.60767,1.27767,1.62659,0.001142,0.001142,0.001142
28,2927.19,1.49789,1.40051,1.56097,0.72683,0.52699,0.59766,0.30106,1.67351,1.40745,1.65105,0.001109,0.001109,0.001109
29,2987.79,1.5055,1.39736,1.58669,0.77655,0.50869,0.61324,0.32469,1.61022,1.32671,1.60351,0.001076,0.001076,0.001076
30,3048.24,1.479,1.3683,1.54487,0.68964,0.5794,0.61214,0.32652,1.58765,1.28305,1.59795,0.001043,0.001043,0.001043
31,3108.64,1.46308,1.36702,1.55061,0.7243,0.55627,0.61871,0.32171,1.5947,1.32887,1.60262,0.00101,0.00101,0.00101
32,3169.34,1.46279,1.36499,1.54774,0.69986,0.55681,0.61262,0.3279,1.57721,1.32746,1.62452,0.000977,0.000977,0.000977
